index,path,label,pred
1,../data/nyu_data/nyu2/bedroom_0051_out\297.jpg,2,2
2,../data/nyu_data/nyu2/kitchen_0031_out\115.jpg,15,15
3,../data/nyu_data/nyu2/home_storage_0001_out\141.jpg,13,13
5,../data/nyu_data/nyu2/study_0003_out\9.jpg,24,24
6,../data/nyu_data/nyu2/bathroom_0048_out\82.jpg,1,1
7,../data/nyu_data/nyu2/dining_room_0033_out\40.jpg,9,9
8,../data/nyu_data/nyu2/bathroom_0019_out\115.jpg,1,1
9,../data/nyu_data/nyu2/bedroom_0118_out\25.jpg,2,2
11,../data/nyu_data/nyu2/living_room_0006_out\32.jpg,17,17
12,../data/nyu_data/nyu2/classroom_0006_out\34.jpg,5,5
14,../data/nyu_data/nyu2/bedroom_0090_out\33.jpg,2,2
16,../data/nyu_data/nyu2/kitchen_0059_out\105.jpg,15,15
18,../data/nyu_data/nyu2/home_storage_0001_out\158.jpg,13,13
19,../data/nyu_data/nyu2/living_room_0038_out\16.jpg,17,17
20,../data/nyu_data/nyu2/bedroom_0050_out\25.jpg,2,2
21,../data/nyu_data/nyu2/bedroom_0047_out\9.jpg,2,2
22,../data/nyu_data/nyu2/bedroom_0076a_out\194.jpg,2,2
23,../data/nyu_data/nyu2/living_room_0046b_out\35.jpg,17,17
24,../data/nyu_data/nyu2/living_room_0039_out\49.jpg,17,17
25,../data/nyu_data/nyu2/living_room_0033_out\60.jpg,17,17
26,../data/nyu_data/nyu2/kitchen_0047_out\125.jpg,15,15
27,../data/nyu_data/nyu2/living_room_0040_out\250.jpg,17,17
28,../data/nyu_data/nyu2/kitchen_0049_out\293.jpg,15,15
29,../data/nyu_data/nyu2/cafe_0001c_out\47.jpg,4,4
31,../data/nyu_data/nyu2/nyu_office_0_out\414.jpg,18,18
32,../data/nyu_data/nyu2/kitchen_0031_out\168.jpg,15,15
33,../data/nyu_data/nyu2/dining_room_0028_out\55.jpg,9,9
34,../data/nyu_data/nyu2/kitchen_0028a_out\123.jpg,15,15
