index,path,label,pred
0,../data/rgbd-dataset-10k\train\images\flashlight_5_4_81_crop.png,14,14
1,../data/rgbd-dataset-10k\train\images\pliers_4_1_139_crop.png,35,35
3,../data/rgbd-dataset-10k\train\images\banana_1_4_67_crop.png,2,2
4,../data/rgbd-dataset-10k\train\images\ball_7_4_219_crop.png,1,1
5,../data/rgbd-dataset-10k\train\images\hand_towel_3_2_147_crop.png,19,19
8,../data/rgbd-dataset-10k\train\images\camera_3_4_44_crop.png,7,7
9,../data/rgbd-dataset-10k\train\images\plate_1_1_33_crop.png,34,34
10,../data/rgbd-dataset-10k\train\images\pitcher_2_1_135_crop.png,33,33
11,../data/rgbd-dataset-10k\train\images\peach_2_2_126_crop.png,31,31
13,../data/rgbd-dataset-10k\train\images\peach_2_1_175_crop.png,31,31
14,../data/rgbd-dataset-10k\train\images\hand_towel_2_4_150_crop.png,19,19
15,../data/rgbd-dataset-10k\train\images\marker_6_1_73_crop.png,26,26
16,../data/rgbd-dataset-10k\train\images\potato_4_2_183_crop.png,36,36
17,../data/rgbd-dataset-10k\train\images\ball_3_4_277_crop.png,1,1
19,../data/rgbd-dataset-10k\train\images\hand_towel_4_4_244_crop.png,19,19
20,../data/rgbd-dataset-10k\valid\images\pitcher_3_1_158_crop.png,33,33
21,../data/rgbd-dataset-10k\train\images\pitcher_3_2_130_crop.png,33,33
23,../data/rgbd-dataset-10k\train\images\camera_1_2_109_crop.png,7,7
24,../data/rgbd-dataset-10k\test\images\tomato_5_1_102_crop.png,43,43
26,../data/rgbd-dataset-10k\train\images\tomato_2_2_181_crop.png,43,43
28,../data/rgbd-dataset-10k\train\images\comb_2_2_26_crop.png,12,12
29,../data/rgbd-dataset-10k\train\images\marker_7_1_93_crop.png,26,26
30,../data/rgbd-dataset-10k\train\images\lightbulb_4_2_194_crop.png,24,24
32,../data/rgbd-dataset-10k\train\images\glue_stick_3_1_155_crop.png,17,17
34,../data/rgbd-dataset-10k\valid\images\peach_3_2_80_crop.png,31,31
36,../data/rgbd-dataset-10k\train\images\ball_1_2_32_crop.png,1,1
38,../data/rgbd-dataset-10k\train\images\banana_1_1_7_crop.png,2,2
39,../data/rgbd-dataset-10k\train\images\cereal_box_4_2_10_crop.png,10,10
40,../data/rgbd-dataset-10k\train\images\greens_2_1_116_crop.png,18,18
41,../data/rgbd-dataset-10k\test\images\toothbrush_3_1_111_crop.png,44,44
42,../data/rgbd-dataset-10k\train\images\tomato_5_4_86_crop.png,43,43
