index,path,label,pred
2,../data/rgbd-dataset-10k\train\images\garlic_1_4_52_crop.png,16,1
6,../data/rgbd-dataset-10k\train\images\potato_5_1_4_crop.png,36,32
7,../data/rgbd-dataset-10k\train\images\shampoo_6_2_10_crop.png,39,15
12,../data/rgbd-dataset-10k\train\images\pear_8_4_171_crop.png,32,30
18,../data/rgbd-dataset-10k\train\images\stapler_6_4_144_crop.png,42,7
22,../data/rgbd-dataset-10k\train\images\cell_phone_3_1_6_crop.png,9,7
25,../data/rgbd-dataset-10k\train\images\pliers_6_1_198_crop.png,35,7
27,../data/rgbd-dataset-10k\train\images\shampoo_6_1_99_crop.png,39,4
31,../data/rgbd-dataset-10k\train\images\cell_phone_3_2_92_crop.png,9,7
33,../data/rgbd-dataset-10k\train\images\garlic_4_4_18_crop.png,16,31
35,../data/rgbd-dataset-10k\valid\images\calculator_5_4_13_crop.png,6,7
37,../data/rgbd-dataset-10k\valid\images\scissors_2_2_61_crop.png,38,43
44,../data/rgbd-dataset-10k\train\images\food_box_6_2_37_crop.png,15,28
56,../data/rgbd-dataset-10k\train\images\garlic_5_1_24_crop.png,16,31
58,../data/rgbd-dataset-10k\train\images\pear_8_2_47_crop.png,32,36
82,../data/rgbd-dataset-10k\train\images\mushroom_2_4_225_crop.png,27,31
83,../data/rgbd-dataset-10k\train\images\comb_2_4_152_crop.png,12,7
89,../data/rgbd-dataset-10k\valid\images\food_bag_3_4_268_crop.png,15,10
91,../data/rgbd-dataset-10k\train\images\notebook_1_2_46_crop.png,28,4
93,../data/rgbd-dataset-10k\train\images\food_can_1_4_179_crop.png,15,1
111,../data/rgbd-dataset-10k\train\images\cell_phone_5_4_40_crop.png,9,7
117,../data/rgbd-dataset-10k\train\images\keyboard_4_4_12_crop.png,21,8
127,../data/rgbd-dataset-10k\train\images\kleenex_1_4_249_crop.png,22,11
129,../data/rgbd-dataset-10k\train\images\bell_pepper_1_1_123_crop.png,3,43
132,../data/rgbd-dataset-10k\train\images\coffee_mug_6_1_81_crop.png,11,36
137,../data/rgbd-dataset-10k\test\images\pitcher_1_2_36_crop.png,33,11
140,../data/rgbd-dataset-10k\train\images\cap_4_2_174_crop.png,8,41
142,../data/rgbd-dataset-10k\valid\images\comb_5_2_151_crop.png,12,7
148,../data/rgbd-dataset-10k\train\images\lightbulb_3_2_124_crop.png,24,11
152,../data/rgbd-dataset-10k\train\images\food_jar_6_4_249_crop.png,15,1
153,../data/rgbd-dataset-10k\train\images\pliers_1_2_97_crop.png,35,26
159,../data/rgbd-dataset-10k\train\images\marker_6_1_177_crop.png,26,7
164,../data/rgbd-dataset-10k\train\images\lightbulb_2_4_158_crop.png,24,36
167,../data/rgbd-dataset-10k\train\images\bowl_1_1_61_crop.png,5,36
183,../data/rgbd-dataset-10k\test\images\pliers_6_4_8_crop.png,35,6
188,../data/rgbd-dataset-10k\train\images\marker_6_1_174_crop.png,26,7
195,../data/rgbd-dataset-10k\train\images\instant_noodles_1_1_55_crop.png,20,26
197,../data/rgbd-dataset-10k\train\images\scissors_2_1_46_crop.png,38,43
199,../data/rgbd-dataset-10k\train\images\pitcher_1_1_9_crop.png,33,11
200,../data/rgbd-dataset-10k\train\images\cell_phone_3_4_61_crop.png,9,7
205,../data/rgbd-dataset-10k\train\images\cap_4_1_58_crop.png,8,3
216,../data/rgbd-dataset-10k\train\images\cell_phone_2_2_176_crop.png,9,26
217,../data/rgbd-dataset-10k\train\images\pliers_6_1_96_crop.png,35,14
219,../data/rgbd-dataset-10k\train\images\water_bottle_7_2_248_crop.png,46,39
221,../data/rgbd-dataset-10k\valid\images\cereal_box_4_4_136_crop.png,10,4
223,../data/rgbd-dataset-10k\train\images\pliers_6_4_31_crop.png,35,13
238,../data/rgbd-dataset-10k\train\images\cap_2_2_89_crop.png,8,7
244,../data/rgbd-dataset-10k\valid\images\water_bottle_2_4_179_crop.png,46,39
245,../data/rgbd-dataset-10k\train\images\stapler_7_1_192_crop.png,42,41
248,../data/rgbd-dataset-10k\train\images\stapler_2_2_122_crop.png,42,7
255,../data/rgbd-dataset-10k\valid\images\comb_5_4_28_crop.png,12,7
256,../data/rgbd-dataset-10k\test\images\water_bottle_2_4_82_crop.png,46,33
260,../data/rgbd-dataset-10k\train\images\bowl_3_4_197_crop.png,5,36
267,../data/rgbd-dataset-10k\train\images\hand_towel_2_1_20_crop.png,19,3
271,../data/rgbd-dataset-10k\train\images\water_bottle_7_1_43_crop.png,46,10
284,../data/rgbd-dataset-10k\train\images\food_bag_1_2_191_crop.png,15,5
285,../data/rgbd-dataset-10k\valid\images\calculator_1_1_35_crop.png,6,14
290,../data/rgbd-dataset-10k\train\images\glue_stick_1_4_216_crop.png,17,26
291,../data/rgbd-dataset-10k\train\images\stapler_3_1_98_crop.png,42,7
293,../data/rgbd-dataset-10k\train\images\garlic_7_1_205_crop.png,16,27
294,../data/rgbd-dataset-10k\train\images\lightbulb_2_4_162_crop.png,24,36
298,../data/rgbd-dataset-10k\train\images\instant_noodles_1_1_82_crop.png,20,15
303,../data/rgbd-dataset-10k\test\images\water_bottle_4_2_155_crop.png,46,10
308,../data/rgbd-dataset-10k\valid\images\food_bag_1_1_167_crop.png,15,28
311,../data/rgbd-dataset-10k\train\images\instant_noodles_6_4_234_crop.png,20,15
312,../data/rgbd-dataset-10k\test\images\comb_2_1_195_crop.png,12,7
316,../data/rgbd-dataset-10k\train\images\pear_8_2_64_crop.png,32,30
317,../data/rgbd-dataset-10k\train\images\cell_phone_5_2_95_crop.png,9,7
321,../data/rgbd-dataset-10k\train\images\keyboard_1_1_181_crop.png,21,8
330,../data/rgbd-dataset-10k\train\images\food_cup_3_2_235_crop.png,15,39
337,../data/rgbd-dataset-10k\train\images\hand_towel_3_4_123_crop.png,19,11
339,../data/rgbd-dataset-10k\train\images\dry_battery_5_2_152_crop.png,13,7
342,../data/rgbd-dataset-10k\valid\images\stapler_5_4_141_crop.png,42,7
345,../data/rgbd-dataset-10k\train\images\cell_phone_3_1_156_crop.png,9,13
354,../data/rgbd-dataset-10k\valid\images\notebook_3_2_148_crop.png,28,4
356,../data/rgbd-dataset-10k\test\images\comb_5_4_21_crop.png,12,7
364,../data/rgbd-dataset-10k\train\images\stapler_1_1_28_crop.png,42,7
365,../data/rgbd-dataset-10k\train\images\comb_3_1_132_crop.png,12,7
371,../data/rgbd-dataset-10k\train\images\pitcher_1_1_75_crop.png,33,11
382,../data/rgbd-dataset-10k\train\images\water_bottle_4_4_142_crop.png,46,17
384,../data/rgbd-dataset-10k\train\images\garlic_7_2_9_crop.png,16,27
388,../data/rgbd-dataset-10k\train\images\cell_phone_5_1_41_crop.png,9,7
390,../data/rgbd-dataset-10k\train\images\cell_phone_3_4_9_crop.png,9,7
404,../data/rgbd-dataset-10k\train\images\garlic_5_1_62_crop.png,16,31
407,../data/rgbd-dataset-10k\valid\images\instant_noodles_1_1_132_crop.png,20,26
408,../data/rgbd-dataset-10k\train\images\shampoo_5_1_241_crop.png,39,4
414,../data/rgbd-dataset-10k\train\images\cell_phone_5_1_140_crop.png,9,7
420,../data/rgbd-dataset-10k\train\images\plate_6_1_72_crop.png,34,36
425,../data/rgbd-dataset-10k\train\images\cap_4_1_139_crop.png,8,41
432,../data/rgbd-dataset-10k\train\images\stapler_2_2_176_crop.png,42,7
435,../data/rgbd-dataset-10k\train\images\garlic_1_4_21_crop.png,16,31
436,../data/rgbd-dataset-10k\train\images\greens_1_2_109_crop.png,18,3
444,../data/rgbd-dataset-10k\valid\images\ball_5_1_260_crop.png,1,31
453,../data/rgbd-dataset-10k\train\images\cap_1_2_70_crop.png,8,11
455,../data/rgbd-dataset-10k\test\images\garlic_1_4_165_crop.png,16,1
457,../data/rgbd-dataset-10k\train\images\stapler_2_2_109_crop.png,42,7
462,../data/rgbd-dataset-10k\train\images\stapler_5_2_5_crop.png,42,7
470,../data/rgbd-dataset-10k\train\images\cell_phone_2_4_77_crop.png,9,26
473,../data/rgbd-dataset-10k\train\images\banana_3_1_129_crop.png,2,30
480,../data/rgbd-dataset-10k\train\images\rubber_eraser_2_4_145_crop.png,37,26
485,../data/rgbd-dataset-10k\train\images\shampoo_6_4_196_crop.png,39,41
491,../data/rgbd-dataset-10k\train\images\calculator_5_4_156_crop.png,6,7
503,../data/rgbd-dataset-10k\valid\images\pear_8_4_122_crop.png,32,30
506,../data/rgbd-dataset-10k\train\images\kleenex_3_1_14_crop.png,22,33
515,../data/rgbd-dataset-10k\train\images\notebook_3_2_18_crop.png,28,4
516,../data/rgbd-dataset-10k\train\images\keyboard_2_1_131_crop.png,21,8
525,../data/rgbd-dataset-10k\train\images\bowl_3_4_164_crop.png,5,4
548,../data/rgbd-dataset-10k\test\images\comb_2_1_101_crop.png,12,7
549,../data/rgbd-dataset-10k\train\images\dry_battery_3_2_25_crop.png,13,26
554,../data/rgbd-dataset-10k\valid\images\comb_2_1_42_crop.png,12,7
559,../data/rgbd-dataset-10k\train\images\garlic_6_2_83_crop.png,16,27
564,../data/rgbd-dataset-10k\test\images\pear_7_2_221_crop.png,32,36
567,../data/rgbd-dataset-10k\train\images\hand_towel_1_4_115_crop.png,19,31
568,../data/rgbd-dataset-10k\train\images\cell_phone_3_1_88_crop.png,9,13
