index,path,label,pred
0,../data/rgbd-dataset-10k\train\images\kleenex_1_4_249_crop.png,22,22
1,../data/rgbd-dataset-10k\train\images\toothbrush_4_1_151_crop.png,44,44
2,../data/rgbd-dataset-10k\test\images\orange_3_1_136_crop.png,30,30
3,../data/rgbd-dataset-10k\train\images\peach_1_2_178_crop.png,31,31
4,../data/rgbd-dataset-10k\train\images\onion_4_2_216_crop.png,29,29
5,../data/rgbd-dataset-10k\train\images\onion_5_4_241_crop.png,29,29
6,../data/rgbd-dataset-10k\train\images\rubber_eraser_1_4_80_crop.png,37,37
7,../data/rgbd-dataset-10k\train\images\plate_7_1_194_crop.png,34,34
8,../data/rgbd-dataset-10k\train\images\soda_can_3_2_28_crop.png,40,40
9,../data/rgbd-dataset-10k\test\images\toothpaste_5_1_144_crop.png,45,45
10,../data/rgbd-dataset-10k\train\images\dry_battery_3_4_152_crop.png,13,13
11,../data/rgbd-dataset-10k\train\images\pliers_2_1_87_crop.png,35,35
12,../data/rgbd-dataset-10k\train\images\shampoo_2_1_56_crop.png,39,39
13,../data/rgbd-dataset-10k\train\images\dry_battery_6_1_64_crop.png,13,13
14,../data/rgbd-dataset-10k\train\images\flashlight_2_2_87_crop.png,14,14
15,../data/rgbd-dataset-10k\train\images\pliers_6_2_4_crop.png,35,35
17,../data/rgbd-dataset-10k\train\images\stapler_8_4_60_crop.png,42,42
19,../data/rgbd-dataset-10k\valid\images\hand_towel_2_4_48_crop.png,19,19
21,../data/rgbd-dataset-10k\train\images\cell_phone_2_4_148_crop.png,9,9
22,../data/rgbd-dataset-10k\train\images\peach_3_1_127_crop.png,31,31
24,../data/rgbd-dataset-10k\train\images\orange_3_4_113_crop.png,30,30
25,../data/rgbd-dataset-10k\train\images\kleenex_4_2_252_crop.png,22,22
26,../data/rgbd-dataset-10k\valid\images\banana_4_1_165_crop.png,2,2
27,../data/rgbd-dataset-10k\train\images\notebook_5_1_249_crop.png,28,28
28,../data/rgbd-dataset-10k\train\images\sponge_4_4_40_crop.png,41,41
29,../data/rgbd-dataset-10k\train\images\glue_stick_6_1_247_crop.png,17,17
31,../data/rgbd-dataset-10k\train\images\soda_can_5_1_38_crop.png,40,40
32,../data/rgbd-dataset-10k\train\images\binder_3_2_59_crop.png,4,4
34,../data/rgbd-dataset-10k\train\images\soda_can_1_2_80_crop.png,40,40
35,../data/rgbd-dataset-10k\train\images\cap_4_4_151_crop.png,8,8
36,../data/rgbd-dataset-10k\train\images\kleenex_1_4_30_crop.png,22,22
37,../data/rgbd-dataset-10k\train\images\stapler_1_2_7_crop.png,42,42
38,../data/rgbd-dataset-10k\train\images\hand_towel_5_1_86_crop.png,19,19
39,../data/rgbd-dataset-10k\train\images\scissors_3_2_4_crop.png,38,38
40,../data/rgbd-dataset-10k\train\images\shampoo_3_1_67_crop.png,39,39
41,../data/rgbd-dataset-10k\train\images\cereal_box_2_2_157_crop.png,10,10
42,../data/rgbd-dataset-10k\valid\images\soda_can_1_2_67_crop.png,40,40
43,../data/rgbd-dataset-10k\train\images\cell_phone_4_2_182_crop.png,9,9
44,../data/rgbd-dataset-10k\test\images\notebook_4_4_115_crop.png,28,28
45,../data/rgbd-dataset-10k\test\images\cereal_box_5_4_88_crop.png,10,10
47,../data/rgbd-dataset-10k\train\images\soda_can_6_4_87_crop.png,40,40
48,../data/rgbd-dataset-10k\train\images\water_bottle_3_1_129_crop.png,46,46
49,../data/rgbd-dataset-10k\valid\images\lemon_5_1_97_crop.png,23,23
50,../data/rgbd-dataset-10k\train\images\dry_battery_5_1_58_crop.png,13,13
51,../data/rgbd-dataset-10k\train\images\notebook_5_2_83_crop.png,28,28
52,../data/rgbd-dataset-10k\train\images\water_bottle_2_2_25_crop.png,46,46
53,../data/rgbd-dataset-10k\train\images\coffee_mug_2_2_123_crop.png,11,11
54,../data/rgbd-dataset-10k\train\images\onion_3_4_10_crop.png,29,29
55,../data/rgbd-dataset-10k\train\images\lime_3_1_58_crop.png,25,25
56,../data/rgbd-dataset-10k\test\images\coffee_mug_3_2_140_crop.png,11,11
58,../data/rgbd-dataset-10k\train\images\plate_7_4_197_crop.png,34,34
59,../data/rgbd-dataset-10k\train\images\toothpaste_1_2_91_crop.png,45,45
60,../data/rgbd-dataset-10k\train\images\sponge_8_2_245_crop.png,41,41
61,../data/rgbd-dataset-10k\train\images\cell_phone_2_4_46_crop.png,9,9
62,../data/rgbd-dataset-10k\train\images\ball_4_1_164_crop.png,1,1
63,../data/rgbd-dataset-10k\train\images\hand_towel_2_2_93_crop.png,19,19
64,../data/rgbd-dataset-10k\train\images\soda_can_2_2_104_crop.png,40,40
65,../data/rgbd-dataset-10k\valid\images\kleenex_5_2_21_crop.png,22,22
