index,path,label,pred
16,../data/rgbd-dataset-10k\train\images\camera_1_4_57_crop.png,7,42
18,../data/rgbd-dataset-10k\train\images\flashlight_2_2_147_crop.png,14,13
20,../data/rgbd-dataset-10k\train\images\apple_1_2_45_crop.png,0,34
23,../data/rgbd-dataset-10k\train\images\orange_2_4_242_crop.png,30,32
30,../data/rgbd-dataset-10k\train\images\lightbulb_2_2_131_crop.png,24,34
33,../data/rgbd-dataset-10k\train\images\bowl_2_1_120_crop.png,5,11
46,../data/rgbd-dataset-10k\train\images\tomato_6_2_91_crop.png,43,36
57,../data/rgbd-dataset-10k\train\images\mushroom_2_2_258_crop.png,27,16
72,../data/rgbd-dataset-10k\train\images\camera_2_1_61_crop.png,7,6
73,../data/rgbd-dataset-10k\train\images\dry_battery_3_2_13_crop.png,13,35
90,../data/rgbd-dataset-10k\train\images\camera_2_2_13_crop.png,7,12
93,../data/rgbd-dataset-10k\train\images\ball_2_4_260_crop.png,1,37
111,../data/rgbd-dataset-10k\train\images\pear_8_1_207_crop.png,32,2
112,../data/rgbd-dataset-10k\train\images\bowl_5_4_258_crop.png,5,21
117,../data/rgbd-dataset-10k\train\images\bowl_2_4_119_crop.png,5,33
118,../data/rgbd-dataset-10k\train\images\bowl_3_1_21_crop.png,5,34
125,../data/rgbd-dataset-10k\test\images\sponge_1_2_39_crop.png,41,34
127,../data/rgbd-dataset-10k\train\images\tomato_2_1_218_crop.png,43,36
133,../data/rgbd-dataset-10k\test\images\orange_1_2_222_crop.png,30,32
134,../data/rgbd-dataset-10k\train\images\orange_2_1_83_crop.png,30,15
136,../data/rgbd-dataset-10k\train\images\flashlight_3_4_204_crop.png,14,41
137,../data/rgbd-dataset-10k\train\images\orange_2_2_44_crop.png,30,32
146,../data/rgbd-dataset-10k\test\images\tomato_8_2_5_crop.png,43,3
158,../data/rgbd-dataset-10k\train\images\food_box_6_2_37_crop.png,15,28
159,../data/rgbd-dataset-10k\train\images\orange_2_4_138_crop.png,30,32
160,../data/rgbd-dataset-10k\valid\images\onion_6_1_239_crop.png,29,5
170,../data/rgbd-dataset-10k\train\images\flashlight_1_4_113_crop.png,14,21
171,../data/rgbd-dataset-10k\train\images\cap_1_4_68_crop.png,8,21
189,../data/rgbd-dataset-10k\train\images\tomato_6_2_224_crop.png,43,36
227,../data/rgbd-dataset-10k\train\images\instant_noodles_3_1_202_crop.png,20,40
228,../data/rgbd-dataset-10k\train\images\mushroom_3_1_186_crop.png,27,19
243,../data/rgbd-dataset-10k\train\images\marker_8_2_20_crop.png,26,42
245,../data/rgbd-dataset-10k\train\images\orange_2_4_221_crop.png,30,32
255,../data/rgbd-dataset-10k\train\images\bowl_6_4_172_crop.png,5,39
262,../data/rgbd-dataset-10k\train\images\onion_3_1_43_crop.png,29,15
264,../data/rgbd-dataset-10k\train\images\lightbulb_2_4_162_crop.png,24,34
272,../data/rgbd-dataset-10k\train\images\flashlight_4_4_170_crop.png,14,12
274,../data/rgbd-dataset-10k\train\images\dry_battery_3_2_35_crop.png,13,35
275,../data/rgbd-dataset-10k\train\images\flashlight_3_4_45_crop.png,14,45
283,../data/rgbd-dataset-10k\train\images\bell_pepper_1_1_16_crop.png,3,43
286,../data/rgbd-dataset-10k\train\images\food_bag_8_2_209_crop.png,15,28
288,../data/rgbd-dataset-10k\valid\images\shampoo_5_2_82_crop.png,39,15
296,../data/rgbd-dataset-10k\train\images\food_bag_5_4_215_crop.png,15,20
306,../data/rgbd-dataset-10k\train\images\comb_1_2_137_crop.png,12,42
322,../data/rgbd-dataset-10k\valid\images\camera_3_4_107_crop.png,7,9
324,../data/rgbd-dataset-10k\train\images\coffee_mug_8_2_133_crop.png,11,22
326,../data/rgbd-dataset-10k\train\images\coffee_mug_3_1_149_crop.png,11,8
327,../data/rgbd-dataset-10k\train\images\shampoo_6_2_108_crop.png,39,15
331,../data/rgbd-dataset-10k\train\images\camera_2_4_27_crop.png,7,6
333,../data/rgbd-dataset-10k\train\images\coffee_mug_5_1_105_crop.png,11,33
341,../data/rgbd-dataset-10k\train\images\lemon_4_4_180_crop.png,23,0
346,../data/rgbd-dataset-10k\test\images\lemon_3_4_125_crop.png,23,0
350,../data/rgbd-dataset-10k\train\images\flashlight_3_4_6_crop.png,14,41
362,../data/rgbd-dataset-10k\train\images\water_bottle_2_1_18_crop.png,46,40
363,../data/rgbd-dataset-10k\train\images\ball_3_1_45_crop.png,1,16
375,../data/rgbd-dataset-10k\valid\images\camera_2_4_96_crop.png,7,6
377,../data/rgbd-dataset-10k\train\images\mushroom_1_1_59_crop.png,27,16
379,../data/rgbd-dataset-10k\train\images\lemon_3_2_12_crop.png,23,0
388,../data/rgbd-dataset-10k\train\images\apple_1_4_82_crop.png,0,42
390,../data/rgbd-dataset-10k\train\images\cell_phone_1_4_110_crop.png,9,6
393,../data/rgbd-dataset-10k\train\images\orange_1_2_99_crop.png,30,32
395,../data/rgbd-dataset-10k\train\images\flashlight_1_4_118_crop.png,14,34
397,../data/rgbd-dataset-10k\train\images\lemon_4_4_186_crop.png,23,0
404,../data/rgbd-dataset-10k\valid\images\shampoo_6_4_236_crop.png,39,15
405,../data/rgbd-dataset-10k\train\images\ball_7_1_125_crop.png,1,15
408,../data/rgbd-dataset-10k\train\images\stapler_3_4_160_crop.png,42,9
421,../data/rgbd-dataset-10k\train\images\lime_2_2_136_crop.png,25,0
431,../data/rgbd-dataset-10k\train\images\tomato_6_2_3_crop.png,43,36
436,../data/rgbd-dataset-10k\train\images\bowl_5_4_21_crop.png,5,21
444,../data/rgbd-dataset-10k\test\images\camera_2_2_179_crop.png,7,6
445,../data/rgbd-dataset-10k\train\images\sponge_1_4_28_crop.png,41,34
450,../data/rgbd-dataset-10k\train\images\orange_1_2_197_crop.png,30,32
454,../data/rgbd-dataset-10k\train\images\mushroom_1_1_164_crop.png,27,16
459,../data/rgbd-dataset-10k\train\images\coffee_mug_2_2_54_crop.png,11,33
476,../data/rgbd-dataset-10k\train\images\orange_2_2_11_crop.png,30,32
486,../data/rgbd-dataset-10k\train\images\peach_3_1_178_crop.png,31,15
490,../data/rgbd-dataset-10k\train\images\camera_3_2_80_crop.png,7,42
491,../data/rgbd-dataset-10k\train\images\flashlight_5_1_138_crop.png,14,7
493,../data/rgbd-dataset-10k\train\images\ball_4_4_105_crop.png,1,42
495,../data/rgbd-dataset-10k\test\images\ball_7_2_19_crop.png,1,15
497,../data/rgbd-dataset-10k\train\images\bell_pepper_1_1_136_crop.png,3,43
499,../data/rgbd-dataset-10k\train\images\calculator_5_2_162_crop.png,6,12
507,../data/rgbd-dataset-10k\train\images\instant_noodles_3_1_136_crop.png,20,45
510,../data/rgbd-dataset-10k\train\images\shampoo_6_4_223_crop.png,39,15
513,../data/rgbd-dataset-10k\train\images\food_bag_2_1_23_crop.png,15,28
529,../data/rgbd-dataset-10k\train\images\tomato_6_1_83_crop.png,43,0
532,../data/rgbd-dataset-10k\test\images\camera_1_2_197_crop.png,7,42
548,../data/rgbd-dataset-10k\train\images\cap_4_4_82_crop.png,8,11
558,../data/rgbd-dataset-10k\train\images\orange_2_4_181_crop.png,30,32
561,../data/rgbd-dataset-10k\train\images\cap_2_2_74_crop.png,8,12
563,../data/rgbd-dataset-10k\train\images\tomato_7_2_95_crop.png,43,0
564,../data/rgbd-dataset-10k\train\images\calculator_3_2_151_crop.png,6,9
569,../data/rgbd-dataset-10k\train\images\bell_pepper_4_1_87_crop.png,3,0
573,../data/rgbd-dataset-10k\train\images\flashlight_5_4_142_crop.png,14,3
574,../data/rgbd-dataset-10k\valid\images\shampoo_3_4_26_crop.png,39,46
578,../data/rgbd-dataset-10k\valid\images\orange_2_4_203_crop.png,30,32
583,../data/rgbd-dataset-10k\train\images\camera_2_4_122_crop.png,7,6
587,../data/rgbd-dataset-10k\train\images\orange_2_2_10_crop.png,30,32
588,../data/rgbd-dataset-10k\train\images\lemon_4_4_207_crop.png,23,0
623,../data/rgbd-dataset-10k\valid\images\coffee_mug_8_1_51_crop.png,11,33
628,../data/rgbd-dataset-10k\train\images\sponge_4_4_192_crop.png,41,37
629,../data/rgbd-dataset-10k\valid\images\hand_towel_3_1_90_crop.png,19,33
630,../data/rgbd-dataset-10k\train\images\orange_3_1_74_crop.png,30,15
636,../data/rgbd-dataset-10k\train\images\camera_2_2_109_crop.png,7,6
637,../data/rgbd-dataset-10k\valid\images\shampoo_2_2_210_crop.png,39,15
647,../data/rgbd-dataset-10k\train\images\calculator_5_4_30_crop.png,6,12
649,../data/rgbd-dataset-10k\test\images\glue_stick_5_2_179_crop.png,17,15
660,../data/rgbd-dataset-10k\train\images\bowl_4_4_121_crop.png,5,21
665,../data/rgbd-dataset-10k\train\images\food_box_6_1_185_crop.png,15,28
671,../data/rgbd-dataset-10k\train\images\coffee_mug_5_4_148_crop.png,11,8
677,../data/rgbd-dataset-10k\train\images\pear_3_2_94_crop.png,32,36
685,../data/rgbd-dataset-10k\train\images\camera_3_1_114_crop.png,7,33
688,../data/rgbd-dataset-10k\train\images\coffee_mug_5_4_103_crop.png,11,33
701,../data/rgbd-dataset-10k\train\images\pliers_6_1_198_crop.png,35,9
702,../data/rgbd-dataset-10k\test\images\keyboard_1_1_195_crop.png,21,8
707,../data/rgbd-dataset-10k\train\images\orange_2_4_116_crop.png,30,32
