index,path,label,pred
1,../data/nyu_data/nyu2/dining_room_0001b_out\132.jpg,9,9
3,../data/nyu_data/nyu2/bathroom_0041_out\114.jpg,1,1
4,../data/nyu_data/nyu2/bookstore_0001f_out\485.jpg,3,3
6,../data/nyu_data/nyu2/dining_room_0031_out\398.jpg,9,9
7,../data/nyu_data/nyu2/dining_room_0015_out\69.jpg,9,9
8,../data/nyu_data/nyu2/bookstore_0001j_out\70.jpg,3,3
9,../data/nyu_data/nyu2/bedroom_0060_out\145.jpg,2,2
11,../data/nyu_data/nyu2/kitchen_0053_out\79.jpg,15,15
12,../data/nyu_data/nyu2/classroom_0018_out\30.jpg,5,5
13,../data/nyu_data/nyu2/living_room_0078_out\135.jpg,17,17
14,../data/nyu_data/nyu2/home_office_0006_out\22.jpg,13,13
15,../data/nyu_data/nyu2/bedroom_0138_out\8.jpg,2,2
16,../data/nyu_data/nyu2/classroom_0006_out\81.jpg,5,5
17,../data/nyu_data/nyu2/kitchen_0051_out\77.jpg,15,15
18,../data/nyu_data/nyu2/bedroom_0052_out\77.jpg,2,2
20,../data/nyu_data/nyu2/furniture_store_0001a_out\38.jpg,12,12
21,../data/nyu_data/nyu2/office_0006_out\230.jpg,19,19
22,../data/nyu_data/nyu2/living_room_0006_out\27.jpg,17,17
23,../data/nyu_data/nyu2/kitchen_0011a_out\42.jpg,15,15
24,../data/nyu_data/nyu2/dining_room_0016_out\25.jpg,9,9
25,../data/nyu_data/nyu2/living_room_0078_out\62.jpg,17,17
27,../data/nyu_data/nyu2/bookstore_0001j_out\115.jpg,3,3
28,../data/nyu_data/nyu2/classroom_0016_out\109.jpg,5,5
29,../data/nyu_data/nyu2/bedroom_0040_out\23.jpg,2,2
31,../data/nyu_data/nyu2/bedroom_0025_out\22.jpg,2,2
32,../data/nyu_data/nyu2/bedroom_0060_out\53.jpg,2,2
34,../data/nyu_data/nyu2/bedroom_0040_out\119.jpg,2,2
35,../data/nyu_data/nyu2/student_lounge_0001_out\320.jpg,23,23
37,../data/nyu_data/nyu2/reception_room_0001a_out\147.jpg,22,22
38,../data/nyu_data/nyu2/bedroom_0129_out\109.jpg,2,2
40,../data/nyu_data/nyu2/furniture_store_0001a_out\55.jpg,12,12
41,../data/nyu_data/nyu2/furniture_store_0001c_out\46.jpg,12,12
42,../data/nyu_data/nyu2/bathroom_0048_out\26.jpg,1,1
43,../data/nyu_data/nyu2/playroom_0004_out\88.jpg,20,20
44,../data/nyu_data/nyu2/bedroom_0107_out\39.jpg,2,2
