index,path,label,pred
0,../data/nyu_data/nyu2/nyu_office_0_out\570.jpg,18,22
2,../data/nyu_data/nyu2/kitchen_0029c_out\103.jpg,15,19
5,../data/nyu_data/nyu2/bathroom_0053_out\4.jpg,1,15
10,../data/nyu_data/nyu2/living_room_0062_out\261.jpg,17,9
19,../data/nyu_data/nyu2/kitchen_0048_out\352.jpg,15,19
26,../data/nyu_data/nyu2/bathroom_0045a_out\57.jpg,1,15
30,../data/nyu_data/nyu2/living_room_0038_out\4.jpg,17,15
33,../data/nyu_data/nyu2/living_room_0069b_out\101.jpg,17,2
36,../data/nyu_data/nyu2/living_room_0020_out\318.jpg,17,19
39,../data/nyu_data/nyu2/dining_room_0029_out\34.jpg,9,2
49,../data/nyu_data/nyu2/bathroom_0002_out\2.jpg,1,22
56,../data/nyu_data/nyu2/living_room_0058_out\90.jpg,17,15
61,../data/nyu_data/nyu2/kitchen_0048_out\285.jpg,15,19
63,../data/nyu_data/nyu2/living_room_0058_out\299.jpg,17,15
68,../data/nyu_data/nyu2/living_room_0070_out\19.jpg,17,2
69,../data/nyu_data/nyu2/living_room_0069b_out\119.jpg,17,9
70,../data/nyu_data/nyu2/office_0019_out\45.jpg,19,15
75,../data/nyu_data/nyu2/living_room_0050_out\260.jpg,17,2
78,../data/nyu_data/nyu2/home_office_0013_out\125.jpg,13,19
88,../data/nyu_data/nyu2/bathroom_0024_out\16.jpg,1,2
91,../data/nyu_data/nyu2/living_room_0022_out\502.jpg,17,22
96,../data/nyu_data/nyu2/office_0006_out\125.jpg,19,15
101,../data/nyu_data/nyu2/living_room_0022_out\391.jpg,17,9
108,../data/nyu_data/nyu2/dining_room_0013_out\145.jpg,9,20
112,../data/nyu_data/nyu2/home_office_0006_out\206.jpg,13,15
114,../data/nyu_data/nyu2/bathroom_0013_out\44.jpg,1,22
120,../data/nyu_data/nyu2/dining_room_0023_out\160.jpg,9,2
122,../data/nyu_data/nyu2/living_room_0042b_out\68.jpg,17,2
123,../data/nyu_data/nyu2/kitchen_0047_out\119.jpg,15,19
125,../data/nyu_data/nyu2/bathroom_0055_out\41.jpg,1,15
130,../data/nyu_data/nyu2/nyu_office_0_out\91.jpg,18,3
144,../data/nyu_data/nyu2/living_room_0046b_out\94.jpg,17,12
145,../data/nyu_data/nyu2/living_room_0047b_out\284.jpg,17,5
147,../data/nyu_data/nyu2/kitchen_0051_out\7.jpg,15,2
149,../data/nyu_data/nyu2/bedroom_0052_out\126.jpg,2,24
152,../data/nyu_data/nyu2/living_room_0070_out\20.jpg,17,2
160,../data/nyu_data/nyu2/living_room_0046b_out\51.jpg,17,2
169,../data/nyu_data/nyu2/living_room_0037_out\60.jpg,17,2
179,../data/nyu_data/nyu2/bedroom_0056a_out\39.jpg,2,15
183,../data/nyu_data/nyu2/bathroom_0049_out\19.jpg,1,15
187,../data/nyu_data/nyu2/living_room_0083_out\16.jpg,17,19
189,../data/nyu_data/nyu2/living_room_0020_out\26.jpg,17,2
191,../data/nyu_data/nyu2/bedroom_0063_out\6.jpg,2,15
192,../data/nyu_data/nyu2/living_room_0019_out\277.jpg,17,2
194,../data/nyu_data/nyu2/dining_room_0031_out\171.jpg,9,2
196,../data/nyu_data/nyu2/living_room_0012_out\74.jpg,17,19
198,../data/nyu_data/nyu2/dining_room_0024_out\26.jpg,9,22
204,../data/nyu_data/nyu2/bedroom_0063_out\9.jpg,2,15
211,../data/nyu_data/nyu2/bedroom_0063_out\28.jpg,2,15
232,../data/nyu_data/nyu2/reception_room_0001b_out\16.jpg,22,19
233,../data/nyu_data/nyu2/basement_0001b_out\10.jpg,0,5
234,../data/nyu_data/nyu2/dining_room_0014_out\45.jpg,9,2
238,../data/nyu_data/nyu2/living_room_0022_out\396.jpg,17,9
240,../data/nyu_data/nyu2/study_0008_out\82.jpg,24,15
243,../data/nyu_data/nyu2/home_storage_0001_out\109.jpg,13,9
253,../data/nyu_data/nyu2/study_0008_out\57.jpg,24,17
257,../data/nyu_data/nyu2/basement_0001b_out\39.jpg,0,19
262,../data/nyu_data/nyu2/home_office_0013_out\15.jpg,13,2
263,../data/nyu_data/nyu2/living_room_0022_out\200.jpg,17,2
264,../data/nyu_data/nyu2/dining_room_0033_out\14.jpg,9,2
267,../data/nyu_data/nyu2/dining_room_0031_out\123.jpg,9,2
268,../data/nyu_data/nyu2/bedroom_0056a_out\37.jpg,2,15
273,../data/nyu_data/nyu2/kitchen_0028a_out\267.jpg,15,19
276,../data/nyu_data/nyu2/living_room_0085_out\44.jpg,17,2
294,../data/nyu_data/nyu2/kitchen_0045b_out\132.jpg,15,19
295,../data/nyu_data/nyu2/living_room_0029_out\46.jpg,17,9
297,../data/nyu_data/nyu2/office_0023_out\11.jpg,19,15
303,../data/nyu_data/nyu2/dining_room_0013_out\144.jpg,9,2
310,../data/nyu_data/nyu2/living_room_0078_out\24.jpg,17,15
313,../data/nyu_data/nyu2/nyu_office_1_out\51.jpg,18,15
314,../data/nyu_data/nyu2/living_room_0040_out\113.jpg,17,3
315,../data/nyu_data/nyu2/bathroom_0039_out\42.jpg,1,15
320,../data/nyu_data/nyu2/bathroom_0045a_out\20.jpg,1,22
323,../data/nyu_data/nyu2/living_room_0022_out\191.jpg,17,2
328,../data/nyu_data/nyu2/living_room_0038_out\31.jpg,17,15
329,../data/nyu_data/nyu2/dining_room_0008_out\92.jpg,9,2
334,../data/nyu_data/nyu2/dining_room_0031_out\248.jpg,9,2
337,../data/nyu_data/nyu2/office_0025_out\29.jpg,19,2
344,../data/nyu_data/nyu2/nyu_office_0_out\86.jpg,18,15
355,../data/nyu_data/nyu2/bathroom_0030_out\4.jpg,1,15
356,../data/nyu_data/nyu2/living_room_0019_out\14.jpg,17,5
357,../data/nyu_data/nyu2/nyu_office_1_out\127.jpg,18,17
359,../data/nyu_data/nyu2/living_room_0046a_out\105.jpg,17,15
361,../data/nyu_data/nyu2/bathroom_0053_out\35.jpg,1,22
363,../data/nyu_data/nyu2/office_kitchen_0003_out\180.jpg,19,15
380,../data/nyu_data/nyu2/bedroom_0072_out\178.jpg,2,19
383,../data/nyu_data/nyu2/home_storage_0001_out\83.jpg,13,2
384,../data/nyu_data/nyu2/nyu_office_0_out\412.jpg,18,15
387,../data/nyu_data/nyu2/living_room_0047b_out\85.jpg,17,15
392,../data/nyu_data/nyu2/dining_room_0023_out\225.jpg,9,15
394,../data/nyu_data/nyu2/bedroom_0074_out\87.jpg,2,17
395,../data/nyu_data/nyu2/laundry_room_0001_out\74.jpg,16,2
396,../data/nyu_data/nyu2/living_room_0033_out\97.jpg,17,15
399,../data/nyu_data/nyu2/dining_room_0001b_out\309.jpg,9,15
403,../data/nyu_data/nyu2/nyu_office_1_out\116.jpg,18,2
404,../data/nyu_data/nyu2/living_room_0086b_out\64.jpg,17,15
405,../data/nyu_data/nyu2/dining_room_0028_out\214.jpg,9,22
409,../data/nyu_data/nyu2/nyu_office_1_out\21.jpg,18,15
413,../data/nyu_data/nyu2/living_room_0038_out\61.jpg,17,15
414,../data/nyu_data/nyu2/kitchen_0053_out\62.jpg,15,22
422,../data/nyu_data/nyu2/living_room_0022_out\82.jpg,17,19
424,../data/nyu_data/nyu2/dining_room_0014_out\142.jpg,9,2
427,../data/nyu_data/nyu2/home_office_0013_out\4.jpg,13,2
428,../data/nyu_data/nyu2/office_0006_out\236.jpg,19,15
432,../data/nyu_data/nyu2/living_room_0042b_out\93.jpg,17,2
445,../data/nyu_data/nyu2/dining_room_0031_out\114.jpg,9,2
448,../data/nyu_data/nyu2/living_room_0019_out\225.jpg,17,2
450,../data/nyu_data/nyu2/furniture_store_0002a_out\273.jpg,12,2
453,../data/nyu_data/nyu2/dining_room_0015_out\204.jpg,9,2
456,../data/nyu_data/nyu2/bedroom_0086_out\20.jpg,2,20
458,../data/nyu_data/nyu2/living_room_0038_out\17.jpg,17,15
461,../data/nyu_data/nyu2/study_0008_out\35.jpg,24,22
464,../data/nyu_data/nyu2/bathroom_0053_out\42.jpg,1,22
465,../data/nyu_data/nyu2/student_lounge_0001_out\327.jpg,23,5
470,../data/nyu_data/nyu2/living_room_0055_out\87.jpg,17,19
471,../data/nyu_data/nyu2/bathroom_0019_out\13.jpg,1,15
473,../data/nyu_data/nyu2/bedroom_0020_out\83.jpg,2,15
477,../data/nyu_data/nyu2/living_room_0069b_out\70.jpg,17,20
481,../data/nyu_data/nyu2/nyu_office_0_out\41.jpg,18,10
483,../data/nyu_data/nyu2/dining_room_0012_out\159.jpg,9,19
490,../data/nyu_data/nyu2/dining_room_0007_out\80.jpg,9,15
491,../data/nyu_data/nyu2/dining_room_0012_out\8.jpg,9,17
494,../data/nyu_data/nyu2/bathroom_0019_out\79.jpg,1,15
497,../data/nyu_data/nyu2/bathroom_0034_out\77.jpg,1,15
499,../data/nyu_data/nyu2/bathroom_0041_out\72.jpg,1,15
509,../data/nyu_data/nyu2/living_room_0067_out\132.jpg,17,19
511,../data/nyu_data/nyu2/home_office_0011_out\6.jpg,13,2
516,../data/nyu_data/nyu2/bedroom_0136_out\160.jpg,2,15
519,../data/nyu_data/nyu2/living_room_0019_out\325.jpg,17,19
523,../data/nyu_data/nyu2/kitchen_0028b_out\64.jpg,15,9
527,../data/nyu_data/nyu2/bedroom_0074_out\91.jpg,2,15
531,../data/nyu_data/nyu2/furniture_store_0001b_out\75.jpg,12,15
539,../data/nyu_data/nyu2/bedroom_0136_out\100.jpg,2,15
542,../data/nyu_data/nyu2/living_room_0019_out\64.jpg,17,1
550,../data/nyu_data/nyu2/home_office_0013_out\120.jpg,13,15
552,../data/nyu_data/nyu2/bathroom_0028_out\127.jpg,1,15
555,../data/nyu_data/nyu2/conference_room_0001_out\82.jpg,7,19
562,../data/nyu_data/nyu2/dining_room_0034_out\193.jpg,9,12
566,../data/nyu_data/nyu2/bathroom_0045a_out\47.jpg,1,22
579,../data/nyu_data/nyu2/kitchen_0029c_out\111.jpg,15,19
588,../data/nyu_data/nyu2/bedroom_0051_out\313.jpg,2,20
589,../data/nyu_data/nyu2/laundry_room_0001_out\71.jpg,16,19
592,../data/nyu_data/nyu2/bedroom_0059_out\29.jpg,2,15
594,../data/nyu_data/nyu2/dining_room_0034_out\37.jpg,9,17
604,../data/nyu_data/nyu2/living_room_0040_out\85.jpg,17,19
610,../data/nyu_data/nyu2/bedroom_0136_out\163.jpg,2,15
614,../data/nyu_data/nyu2/living_room_0022_out\159.jpg,17,15
615,../data/nyu_data/nyu2/living_room_0019_out\343.jpg,17,19
618,../data/nyu_data/nyu2/office_0006_out\128.jpg,19,15
627,../data/nyu_data/nyu2/bathroom_0051_out\45.jpg,1,15
633,../data/nyu_data/nyu2/living_room_0035_out\73.jpg,17,2
639,../data/nyu_data/nyu2/bathroom_0024_out\28.jpg,1,2
644,../data/nyu_data/nyu2/living_room_0005_out\121.jpg,17,2
651,../data/nyu_data/nyu2/dining_room_0015_out\219.jpg,9,15
654,../data/nyu_data/nyu2/living_room_0086b_out\47.jpg,17,15
655,../data/nyu_data/nyu2/furniture_store_0002b_out\359.jpg,12,15
657,../data/nyu_data/nyu2/kitchen_0031_out\204.jpg,15,19
662,../data/nyu_data/nyu2/living_room_0047b_out\75.jpg,17,15
667,../data/nyu_data/nyu2/bathroom_0039_out\99.jpg,1,15
668,../data/nyu_data/nyu2/dining_room_0034_out\243.jpg,9,15
672,../data/nyu_data/nyu2/basement_0001a_out\268.jpg,0,2
673,../data/nyu_data/nyu2/living_room_0018_out\92.jpg,17,15
677,../data/nyu_data/nyu2/study_room_0005a_out\60.jpg,24,19
678,../data/nyu_data/nyu2/nyu_office_0_out\78.jpg,18,15
679,../data/nyu_data/nyu2/bedroom_0050_out\273.jpg,2,17
681,../data/nyu_data/nyu2/living_room_0010_out\66.jpg,17,2
682,../data/nyu_data/nyu2/living_room_0055_out\89.jpg,17,19
683,../data/nyu_data/nyu2/bathroom_0045a_out\76.jpg,1,19
